abs,brand,compression_ratio,coupe_type,cylinder_bore,doors,fuel_tank_volume,fuel_type,generation,kerb_weight,model,number_of_cylinders,number_of_gears,number_of_valves_per_cylinder,piston_stroke,position_of_cylinders,power,seats,torque,wheelbase,hashtags,sentiment
1,Zenvo,0,3,4,2,4,0,TS1,4,TS1,8,7,4,4,2,1,2,2,6,#zenvots1|#ts1|#zts1|#ts1ts1|#zenvots1ts1|#zts1ts1,0.223484848
1,Zotye,1,0,0,4,2,0,Z560,3,Z560,4,0,4,3,1,3,5,2,5,#zotyez560|#z560|#zz560|#z560z560|#zotyez560z560|#zz560z560,0
1,Zenvo,0,3,4,2,4,0,ST1,4,ST1,8,7,4,4,2,1,2,2,2,#zenvost1|#st1|#zst1|#st1st1|#zenvost1st1|#zst1st1,0.099785156
1,Alfa Romeo,1,2,3,5,4,0,159 Sportwagon,3,159,4,6,4,1,1,4,5,4,4,#alfaromeo159|#159|#a159|#159159|#alfaromeo159159|#a159159,0.06875
1,Vector,0,3,3,2,4,0,W8 Twin Turbo,4,W8 Twin Turbo,8,3,2,6,2,1,2,2,3,#vectorw8twinturbo|#w8twinturbo|#vw8twinturbo|#w8twinturbow8|#vectorw8twinturbow8|#vw8twinturbow8,0
1,VUHL,2,11,1,5,0,0,5,0,5,4,6,4,2,1,6,2,6,0,#vuhl5|#5|#v5|#55|#vuhl55|#v55,0.2
0,UAZ,0,2,5,5,6,0,469,4,469,4,4,2,6,1,0,7,2,0,#uaz469|#469|#u469|#469469|#uaz469469|#u469469,0.25
1,Venturi,0,3,6,2,4,0,400,0,400,6,5,4,0,2,6,2,6,1,#venturi400|#400|#v400|#400400|#venturi400400|#v400400,0.064806548
1,Toyota,5,0,1,4,1,0,Yaris Sedan (facelift 2019),1,Yaris,4,6,4,2,1,1,5,1,2,#toyotayaris|#yaris|#tyaris|#yarisyaris|#toyotayarisyaris|#tyarisyaris,0.367171717
1,Toyota,6,7,0,5,0,0,Sienta II (facelift 2018),2,Sienta,4,10,4,3,1,1,5,2,5,#toyotasienta|#sienta|#tsienta|#sientasienta|#toyotasientasienta|#tsientasienta,0.243181818
0,Toyota,3,7,0,5,1,0,Sparky,1,Sparky,4,6,4,0,1,1,7,0,1,#toyotasparky|#sparky|#tsparky|#sparkysparky|#toyotasparkysparky|#tsparkysparky,0.572943723
1,Toyota,0,3,4,3,4,0,Supra (A8),3,Supra,6,6,4,4,1,6,4,6,1,#toyotasupra|#supra|#tsupra|#suprasupra|#toyotasuprasupra|#tsuprasupra,0.595833333
0,Toyota,1,3,2,2,1,0,Sprinter Trueno,0,Sprinter,4,6,4,1,1,1,5,1,1,#toyotasprinter|#sprinter|#tsprinter|#sprintersprinter|#toyotasprintersprinter|#tsprintersprinter,0.401953125
1,Toyota,6,4,6,4,4,0,Tundra II Double Cab Long Bed,0,Tundra,8,6,4,1,2,6,6,6,2,#toyotatundra|#tundra|#ttundra|#tundratundra|#toyotatundratundra|#ttundratundra,-0.375
1,Toyota,0,1,0,3,0,0,Starlet II (P8),0,Starlet,4,4,4,1,1,2,5,1,0,#toyotastarlet|#starlet|#tstarlet|#starletstarlet|#toyotastarletstarlet|#tstarletstarlet,0.033333333
0,Toyota,4,8,4,5,4,0,Venza,5,Venza,6,6,4,4,2,5,5,4,0,#toyotavenza|#venza|#tvenza|#venzavenza|#toyotavenzavenza|#tvenzavenza,0.65625
0,Toyota,6,7,3,4,2,1,Town Ace Noah,3,Town Ace,4,5,4,3,1,1,6,2,4,#toyotatownace|#townace|#ttownace|#townacetown|#toyotatownacetown|#ttownacetown,0.170454545
1,Toyota,6,4,6,2,6,0,Tacoma III Access Cab,5,Tacoma,6,6,4,2,2,5,4,5,2,#toyotatacoma|#tacoma|#ttacoma|#tacomatacoma|#toyotatacomatacoma|#ttacomatacoma,0.533333333
1,Toyota,0,0,4,4,4,0,Verossa,3,Verossa,6,4,4,0,1,5,5,5,5,#toyotaverossa|#verossa|#tverossa|#verossaverossa|#toyotaverossaverossa|#tverossaverossa,0
1,Toyota,0,9,0,5,1,1,Verso-S II,1,Verso-S,4,6,2,2,1,1,5,2,2,#toyotaversos|#versos|#tversos|#versosversos|#toyotaversosversos|#tversosversos,0.35
0,Toyota,5,0,0,4,1,0,Vios III (facelift 2018),0,Vios,4,0,4,1,1,1,5,0,2,#toyotavios|#vios|#tvios|#viosvios|#toyotaviosvios|#tviosvios,0.136363636
0,Toyota,0,0,4,4,4,0,Vista (V20),1,Vista,4,4,4,4,2,1,5,1,2,#toyotavista|#vista|#tvista|#vistavista|#toyotavistavista|#tvistavista,0.1
1,Toyota,3,1,0,5,1,0,Vitz II,0,Vitz,4,4,4,0,1,1,5,1,0,#toyotavitz|#vitz|#tvitz|#vitzvitz|#toyotavitzvitz|#tvitzvitz,0.5
1,Toyota,3,7,0,5,1,0,Ractis I,1,Ractis,4,6,4,3,1,1,5,1,2,#toyotaractis|#ractis|#tractis|#ractisractis|#toyotaractisractis|#tractisractis,0
